date,Alameda,Alpine,Amador,Butte,Calaveras,California,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Unknown,Ventura,Yolo,Yuba,total
07/2022,9980337,4023,293985,1147837,249267,303000000,112703,7265362,216541,949046,8080943,164988,627687,1904663,135178,6459502,1731167,369081,293619,95500037,1270506,1048315,89809,463517,2149742,25645,97455,2753390,945679,558814,19496319,2225936,106239,20259723,10090817,466546,19534781,26617287,5157501,5765938,1856665,4869243,3052313,12516793,1804643,1027541,9025,151137,3051464,3121567,4015624,698626,401347,40883,3571400,448590,101843,6063476,1396115,546882,607000000
07/2023,4276294,1529,117833,464158,100479,124000000,44446,3068460,88036,386512,3288553,64598,261175,790911,53204,2560759,698380,152132,113434,38850750,516661,461520,37394,187837,865161,10856,36886,1089369,386900,225650,7980782,910097,42585,8159720,4168107,196772,7889032,10900415,2217452,2349025,740331,2060657,1251097,5364104,767715,404911,3432,61065,1275994,1274675,1619582,286742,160539,16379,1428117,187584,46863,2456062,558692,223430,248000000
08/2020,523021,62,7792,52624,6297,20831157,13338,402888,3252,29057,789670,13158,10655,339114,4430,873494,177394,9324,21765,7065832,109616,36149,2138,16106,227864,253,4989,221520,42098,12690,1486361,86895,1195,1567474,504307,29089,1423197,1134818,271617,530470,85419,241181,238511,508383,51678,17791,171,3693,158171,156904,432977,36579,11361,1164,415893,5521,62,321471,69626,22588,41662314
08/2021,3252625,2803,135249,462567,84916,128000000,68349,2646818,74357,396361,3503356,83728,198415,931479,46746,3261650,792638,157027,173477,41021975,569004,229625,19933,165688,1055456,13465,42512,1399969,346980,212212,8700067,899829,28601,9987181,4017137,202530,9874489,9938726,1421559,2592282,753641,1491869,1184112,4065588,555140,450858,2886,71908,1225137,1117642,1975935,346300,179770,17702,1676722,159395,403,2746616,511034,235479,256000000
08/2022,10473637,4080,302450,1192286,257968,316000000,115499,7590786,225926,979348,8446034,168594,657012,1990658,137500,6679331,1801586,385078,304593,99479984,1328397,1102150,93600,484176,2231369,26733,98644,2863165,981127,574654,20362239,2299936,110074,21093850,10491117,489538,20343584,27791373,5398422,5988708,1923075,5098240,3192725,13149279,1898103,1059798,9258,154984,3184603,3240580,4173102,728420,412805,42475,3703494,469375,129105,6304868,1440595,568330,632000000
09/2020,621158,68,8589,84150,9005,23615901,15427,489869,3912,33747,894440,16661,14356,349840,5608,939923,221926,14967,22191,7792751,131004,35839,2274,23876,261466,783,4983,281406,49407,15397,1601897,104785,1431,1720059,640025,38486,1576369,1351399,323416,592417,106482,290653,267199,631682,67775,25829,180,4553,184073,213185,485857,48181,15640,1572,475403,6796,60,381962,82520,30992,47231802
09/2021,3400359,2926,147646,545907,101936,133000000,71581,2819081,101548,438588,3778331,94340,237881,938885,50000,3477101,860630,180347,185922,41666298,613166,249721,26981,198172,1139519,13931,44973,1413867,365648,246895,8864455,1006550,36909,10339508,4386247,207645,10132419,10486440,1494026,2783738,824619,1545997,1248234,4198203,577162,538255,3880,88387,1306370,1169455,2142748,383924,213337,21274,1829297,183042,390,2818844,550195,272133,266000000
09/2022,10368638,4016,297993,1180029,254086,312000000,113442,7499987,222149,963350,8328604,165203,652276,1960165,134415,6565872,1777319,381723,298651,98029123,1316289,1093430,92707,478309,2199783,26215,96032,2815123,966041,566878,20074149,2264879,108736,20801002,10358299,485702,20070721,27363437,5337331,5910213,1891456,5038561,3157882,13018855,1881165,1044215,9075,153256,3141016,3194876,4121447,722550,406206,41815,3649641,464273,126045,6227914,1416059,563164,624000000
10/2020,716150,118,10077,97015,10167,27653089,17001,575481,5265,42097,1015799,20295,17049,391021,6981,1037133,261369,21335,23810,9064953,152803,37446,2468,32072,291274,1062,5929,342065,60575,18967,1836786,128416,2012,2025911,771720,43536,1897999,1674082,373188,665042,131321,342852,301579,759993,85849,60965,188,5857,223071,281937,540212,55966,25493,2373,544740,8285,83,451239,97228,37389,55306178
10/2021,3648343,3106,167422,625289,119858,143000000,76822,3036403,112101,485391,4196598,105647,271296,1017534,64551,3835681,965385,202741,207141,44164251,689397,274958,36632,225362,1262261,15692,51415,1496225,395852,275370,9416512,1117329,50261,11085801,4808138,224630,10810478,11320965,1615797,3030659,899353,1655253,1353407,4489367,621833,633572,5183,101479,1404943,1258738,2364371,420665,251176,25465,2054854,212467,404,3005914,601921,304917,286000000
10/2022,10863989,4204,310627,1230865,265040,325000000,118104,7849448,231622,1006673,8670441,171874,685503,2044739,139732,6830358,1850304,398540,309845,102000000,1371007,1151971,96805,499881,2289982,27352,99648,2926208,1008795,592309,20946729,2366644,114578,21653406,10826441,507500,20896079,28555668,5600995,6158778,1971104,5283457,3294639,13637071,1975280,1089840,9483,160259,3283409,3339620,4291403,754365,423480,43473,3794406,484692,131149,6500428,1478078,587619,651000000
11/2020,839845,1094,14511,114082,12855,33652391,20265,679915,8313,64957,1170858,26100,23395,452316,8518,1154524,310869,26621,44340,10833912,178111,36838,3273,40415,331507,2690,14702,421905,85571,32824,2176487,187245,5107,2489103,1004560,51369,2533386,2178473,435559,752256,174068,403988,330490,961309,120269,130434,424,13847,287240,346966,614039,83453,43390,6101,611141,23189,96,551852,129637,51787,67304782
11/2021,3637296,3092,169832,643098,128066,143000000,77235,3028528,111806,494404,4314008,106620,280988,1038229,74497,3918985,989062,205887,209605,43740632,716889,282553,41492,235739,1281407,16952,53988,1478983,395930,286264,9351000,1142101,56786,11095856,4864216,225952,10822604,11390624,1621141,3042593,905342,1650935,1358008,4496383,627741,662889,5744,101984,1397183,1269625,2400712,421909,261066,26328,2100829,225751,634,2982303,608978,309527,287000000
11/2022,10680561,4133,303514,1204625,259325,318000000,115148,7705837,225908,989343,8469703,168571,673612,2003360,136968,6661757,1810059,390820,302355,99986193,1337584,1135520,95385,488501,2236007,26800,96949,2854761,986902,580524,20462623,2320318,111837,21139707,10615019,496790,20408272,27917507,5510267,6021919,1922431,5191857,3216652,13403665,1944922,1066080,9210,157400,3224409,3265789,4190550,738828,415226,42939,3700014,476525,127297,6352170,1446927,575495,637000000
12/2020,1390994,1987,59397,198890,28167,59734459,35177,1088110,19968,157544,1841348,42301,45720,650931,16482,1783999,459587,49469,114796,19477254,287636,42155,6311,65871,517948,6337,24055,728619,155677,73543,4079161,377229,12254,4685446,1755313,92177,5086122,4053342,647763,1218437,291175,672345,474000,1829735,238121,229475,778,28405,499101,525294,950596,173775,81615,11634,926252,67924,204,1026282,229100,101131,119000000
12/2021,3991213,3350,181736,691759,142131,156000000,82447,3292939,118511,539110,4624339,112957,314017,1144132,82543,4194348,1059841,218448,220062,47701326,770402,337607,46456,259232,1369506,18556,62462,1581540,432541,315035,10167130,1245224,62419,12050291,5274260,248217,11785099,12651784,1849079,3262840,981511,1834415,1483993,4937925,694204,712249,6327,108621,1501073,1389085,2569696,449753,276765,28264,2237459,245907,1859,3246454,663540,332164,312000000
12/2022,11350747,4309,318377,1268521,272845,336000000,120633,8167250,237802,1045221,8926218,176945,711777,2122820,144710,6984528,1905014,411724,315251,106000000,1406395,1209474,101355,511723,2351088,28693,101189,2983611,1040076,612744,21587563,2446611,116931,22268933,11208381,530543,21530977,29454239,5857762,6347751,2013491,5504767,3384183,14240368,2061884,1116526,9571,165487,3412883,3436039,4401156,776541,439013,44881,3885802,505355,131732,6687824,1519207,605442,672000000
